video_label,Label,Avg,Stats,Serial
AN_WILTY_EP24_lie17,lie,89.3,"mean=89.3, std=8.1, max=106, min=70, range=36","[ 92  91  91  91  91  89  87  83  81  83  93 104 106  98  87  77  70  70
  77  87  96 101  98  93  90  89  90  91  91  90  90  90]"
BRI_WILTY_EP59_deception_22,lie,89.2,"mean=89.2, std=9.3, max=107, min=72, range=35","[ 90  91  94  99 101  99  96  93  90  84  76  72  72  75  79  80  78  76
  78  81  84  87  89  93  99 105 107 103  97  93  92  91  92  92  92  92]"
BRI_WILTY_EP59_lie_13,lie,88.5,"mean=88.5, std=8.2, max=104, min=77, range=27","[104 103  98  90  82  79  81  83  83  80  77  77  80  83  85  87  88  92
  97 100  99  95  92  90]"
BRI_WILTY_EP61_lie_1,lie,86.7,"mean=86.7, std=5.5, max=98, min=76, range=22","[89 89 90 92 96 98 96 91 85 82 80 78 77 76 78 81 84 86 85 84 84 85 88 91
 93 92 90 87 87 87 87 87]"
BRI_WILTY_EP61_lie_7,lie,90.2,"mean=90.2, std=6.4, max=107, min=81, range=26",[107 101  94  89  88  89  92  93  91  88  84  82  81  85  89  91]
BRI_WILTY_EP61_truth_11,truth,84.6,"mean=84.6, std=16.8, max=124, min=71, range=53",[ 79  78  76  74  71  71  72  76  84  97 113 124]
BRI_WILTY_EP61_truth_14,truth,77.2,"mean=77.2, std=6.4, max=94, min=68, range=26","[94 89 85 83 82 78 76 75 76 77 76 76 75 74 74 73 72 69 68 69 70 71 70 72
 77 85 89 87 81 77 76 75]"
BRI_WILTY_EP62_lie_24,lie,85.2,"mean=85.2, std=7.5, max=102, min=64, range=38","[ 64  69  78  86  93  99 102  98  92  85  79  76  77  81  83  84  84  84
  85  85  86  86  86  85  85  85  83  80  78  83  90  93  93  91  90  89]"
BRI_WILTY_EP62_lie_29,lie,88.2,"mean=88.2, std=5.9, max=99, min=79, range=20",[99 96 93 92 90 87 83 81 81 81 79 79 84 91 95 94 91 89 89 89]
BRI_WILTY_EP62_truth_10,truth,74.2,"mean=74.2, std=5.6, max=88, min=68, range=20",[88 86 81 75 70 69 70 70 69 68 69 69 70 73 75 77 77 77 76 76]
BRI_WILTY_EP62_truth_5,truth,75.1,"mean=75.1, std=5.3, max=89, min=67, range=22","[76 76 76 78 79 76 72 69 67 67 68 70 72 73 73 74 74 74 74 75 76 78 82 87
 89 86 81 76 72 70 71 73]"
BRI_WILTY_EP62_truth_9,truth,77.5,"mean=77.5, std=6.7, max=92, min=71, range=21","[75 83 89 89 86 87 91 92 88 80 75 75 76 76 74 72 72 73 73 73 72 72 73 73
 73 73 73 73 73 73 73 72 71 74 82 90]"
BRI_WILTY_EP63_truth_1,truth,80.7,"mean=80.7, std=9.5, max=108, min=69, range=39","[ 78  78  78  77  77  76  76  76  76  76  76  76  76  76  75  75  74  73
  72  71  69  71  76  84  88  86  83  85  95 105 108 103  94  87  81  77]"
BRI_WILTY_EP63_truth_2,truth,75.9,"mean=75.9, std=6.4, max=90, min=62, range=28","[66 70 75 78 79 79 79 79 79 78 77 76 76 77 81 87 90 86 79 74 74 78 83 86
 81 71 64 62 64 68 72 75 76 74 71 69]"
BRI_WILTY_EP63_truth_20,truth,69.9,"mean=69.9, std=5.0, max=75, min=61, range=14",[63 61 61 63 67 70 72 72 72 72 73 74 74 75 75 75]
BRI_WILTY_EP63_truth_5,truth,77.8,"mean=77.8, std=7.4, max=95, min=66, range=29","[72 72 73 75 76 76 76 75 75 74 74 73 71 68 66 67 71 77 87 95 95 87 79 75
 74 78 85 90 88 84 81 80]"
BRI_WILTY_EP63_truth_9,truth,79.2,"mean=79.2, std=5.8, max=90, min=73, range=17",[73 73 73 74 74 75 78 84 89 90 88 84 79 77 78 78]
BRI_WILTY_EP64_truth_16,truth,78.6,"mean=78.6, std=7.0, max=94, min=67, range=27","[74 74 73 71 69 67 67 72 80 85 84 81 82 88 94 94 90 82 75 75 77 78 79 78
 78 78 78 78]"
BRI_WILTY_EP64_truth_17,truth,76.4,"mean=76.4, std=8.4, max=100, min=67, range=33","[ 75  73  71  71  73  75  75  76  79  83  87  89  91  91  85  77  72  70
  70  70  70  68  68  69  71  71  70  68  67  68  72  76  80  85  93 100]"
BRI_WILTY_EP64_truth_2,truth,79.1,"mean=79.1, std=8.0, max=98, min=69, range=29","[77 77 78 81 86 88 84 78 74 72 71 71 71 71 72 73 74 75 76 77 79 84 91 98
 98 91 79 69]"
BRI_WILTY_EP65_truth_3,truth,81.0,"mean=81.0, std=8.9, max=107, min=73, range=34","[ 77  77  76  76  76  75  74  73  73  74  74  74  73  76  82  87  87  83
  82  85  89  93 100 107]"
BRI_WILTY_EP65_truth_6,truth,80.9,"mean=80.9, std=8.1, max=95, min=68, range=27","[87 90 92 89 84 82 85 85 80 72 69 69 70 70 69 68 69 72 78 85 89 87 84 86
 91 95 92 85 81 78 78 78]"
BRI_WILTY_EP65_truth_7,truth,78.6,"mean=78.6, std=8.8, max=99, min=71, range=28",[99 91 80 74 71 71 72 73 73 72 71 71 77 84 89 90]
BRI_WILTY_EP66_truth_14,truth,77.7,"mean=77.7, std=4.5, max=87, min=71, range=16",[79 79 79 78 78 76 74 71 71 75 83 87 84 77 73 72 74 78 84 86 82 76 74 75]
BRI_WILTY_EP66_truth_2,truth,79.1,"mean=79.1, std=8.9, max=96, min=70, range=26","[94 94 90 86 86 92 96 95 88 79 73 70 70 70 71 72 73 74 75 76 77 78 77 75
 71 70 71 73]"
BRI_WILTY_EP66_truth_3,truth,83.7,"mean=83.7, std=12.3, max=106, min=67, range=39","[ 74  73  73  72  71  71  70  69  68  67  68  70  73  78  84  88  86  81
  77  77  79  83  90  97 100  98  93  89  89  95 101 106 106 103  99  95]"
LS_WILTY_EP10_lie12,lie,89.4,"mean=89.4, std=5.7, max=103, min=83, range=20","[ 89  89  89  90  92  93  93  91  87  85  84  84  83  84  85  85  84  83
  84  92 100 103 100  96]"
LS_WILTY_EP10_lie4,lie,84.7,"mean=84.7, std=7.4, max=98, min=66, range=32","[73 68 66 71 83 93 97 98 97 94 89 85 84 83 83 83 83 83 83 84 85 86 86 87
 87 85 83 81 83 87 90 91]"
LS_WILTY_EP10_lie5,lie,91.0,"mean=91.0, std=8.8, max=112, min=76, range=36","[112 106 100  99  99  98  95  95  96  97  95  92  89  87  86  85  84  84
  84  83  80  77  76  79  84  90  96 101]"
LS_WILTY_EP10_lie7,lie,87.4,"mean=87.4, std=7.2, max=97, min=72, range=25","[89 89 90 90 90 90 89 89 89 89 89 88 88 90 93 94 94 93 95 95 90 83 77 76
 74 72 72 74 77 80 85 93 97 97 94 92]"
LS_WILTY_EP11_lie11,lie,87.9,"mean=87.9, std=10.0, max=102, min=59, range=43","[ 92  95 100 102 100  96  93  91  90  92  94  95  92  88  86  85  85  85
  85  84  81  74  66  59]"
C:\Users\Satish\Desktop\research\1\AN_WILTY_EP21_lie1,lie,89.1,"mean=89.1, std=5.8, max=99, min=79, range=20","[89 86 82 79 80 83 85 84 83 85 88 89 88 86 86 86 88 91 96 99 97 93 91 91
 94 97 99 99]"
AN_WILTY_EP15_lie12,lie,91.1,"mean=91.1, std=7.0, max=111, min=79, range=32","[ 91  92  92  91  91  91  91  91  91  91  93  96  96  91  84  79  80  82
  84  85  85  87  91  99 108 111 104  94  88  87  89  90]"
AN_WILTY_EP15_lie14,lie,85.8,"mean=85.8, std=8.9, max=113, min=70, range=43","[ 74  71  70  72  76  80  83  82  79  77  80  87  94  97  94  90  86  85
  85  85  83  80  79  81  85  88  90  90  90  90  90  90  92  97 105 113]"
AN_WILTY_EP15_truth2,truth,71.4,"mean=71.4, std=4.3, max=78, min=62, range=16",[72 72 71 70 69 68 70 73 76 78 78 76 73 69 65 62]
AN_WILTY_EP15_truth3,truth,81.8,"mean=81.8, std=7.8, max=94, min=67, range=27",[87 91 94 90 82 76 73 70 67 68 73 81 86 85 82 82 86 89 88 85]
AN_WILTY_EP15_truth6,truth,77.1,"mean=77.1, std=7.4, max=98, min=69, range=29","[69 69 71 72 72 72 73 74 75 75 75 75 75 75 75 75 74 74 73 73 74 79 89 98
 98 88 79 78 83 88 87 82 76 72 69 69]"
AN_WILTY_EP16_lie17,lie,81.1,"mean=81.1, std=5.3, max=86, min=69, range=17",[69 74 78 79 79 81 84 86 86 86 86 85]
AN_WILTY_EP16_truth12,truth,74.6,"mean=74.6, std=2.8, max=80, min=70, range=10",[74 72 70 70 72 73 73 74 76 79 80 77 75 75 76 77]
AN_WILTY_EP16_truth16,truth,71.2,"mean=71.2, std=5.4, max=76, min=59, range=17",[59 61 65 67 69 70 72 73 74 75 75 75 76 76 76 76]
AN_WILTY_EP17_truth11,truth,77.6,"mean=77.6, std=6.2, max=87, min=68, range=19",[79 80 83 86 87 84 78 73 72 75 82 87 84 78 73 72 71 70 69 68]
AN_WILTY_EP19_lie12,lie,91.9,"mean=91.9, std=9.3, max=108, min=77, range=31","[ 92  91  90  91  94 101 108 107 100  91  85  83  81  78  77  81  87  94
 101 106]"
AN_WILTY_EP21_lie12,lie,86.1,"mean=86.1, std=7.1, max=98, min=77, range=21",[85 81 78 77 77 78 80 83 86 87 89 92 96 98 96 94]
AN_WILTY_EP21_lie14,lie,88.8,"mean=88.8, std=6.5, max=104, min=82, range=22",[104 100  92  85  82  83  84  85  86  88  88  89]
AN_WILTY_EP21_lie17,lie,85.3,"mean=85.3, std=5.0, max=94, min=77, range=17","[77 78 81 84 85 83 79 78 80 83 85 85 84 83 86 89 90 88 84 80 78 81 85 88
 90 90 91 92 94 94 93 91]"
AN_WILTY_EP21_lie5,lie,88.4,"mean=88.4, std=7.6, max=100, min=74, range=26","[ 88  85  80  75  74  76  81  87  93  96  94  94  97 100  98  93  90  89
  89  89]"
AN_WILTY_EP21_lie6,lie,91.1,"mean=91.1, std=5.9, max=103, min=79, range=24","[ 89  86  82  79  81  86  92  95  96  95  95  93  91  90  90  91  93  95
 100 103]"
AN_WILTY_EP21_truth2,truth,75.4,"mean=75.4, std=5.3, max=89, min=66, range=23","[79 79 78 75 71 66 66 70 75 78 78 77 76 74 73 71 72 77 85 89 85 78 73 71
 72 76 82 85 81 74 70 69 70 72 74 75]"
AN_WILTY_EP21_truth3,truth,77.1,"mean=77.1, std=7.3, max=92, min=67, range=25",[87 86 84 80 76 72 68 67 68 70 72 73 73 73 72 72 73 74 76 81 88 92 89 85]
AN_WILTY_EP21_truth4,truth,79.0,"mean=79.0, std=8.9, max=108, min=70, range=38","[ 77  77  77  76  74  71  70  74  80  85  85  80  77  75  74  73  73  73
  72  72  73  74  76  82  92 104 108 100  87  76  73  74  76  77  78  78]"
AN_WILTY_EP22_lie10,lie,91.9,"mean=91.9, std=4.8, max=102, min=86, range=16","[ 92  89  86  88  94 100 102 102 101  97  91  88  88  89  90  91  92  91
  91  90  90  89  88  87]"
AN_WILTY_EP22_lie16,lie,88.8,"mean=88.8, std=7.8, max=103, min=71, range=32","[103  99  96  96  96  94  91  89  88  86  82  81  84  90  93  91  85  77
  71  71  76  81  85  87  87  87  86  86  87  89  93  99 102 100  95  92]"
AN_WILTY_EP22_lie17,lie,84.0,"mean=84.0, std=6.6, max=93, min=70, range=23",[90 90 89 87 82 80 82 86 91 93 91 87 82 75 70 71 76 83 87 88]
AN_WILTY_EP22_lie26,lie,88.6,"mean=88.6, std=2.0, max=92, min=86, range=6",[87 87 89 92 92 88 86 86 87 89 90 90]
AN_WILTY_EP22_lie6,lie,85.6,"mean=85.6, std=7.9, max=97, min=72, range=25",[88 87 84 79 75 72 74 78 83 87 91 95 97 96 93 91]
AN_WILTY_EP22_lie8,lie,86.7,"mean=86.7, std=6.2, max=99, min=72, range=27","[72 77 83 86 87 88 91 96 99 96 90 86 85 85 86 87 87 86 83 83 87 93 94 93
 89 85 79 74]"
AN_WILTY_EP22_truth13,truth,80.2,"mean=80.2, std=10.0, max=102, min=70, range=32","[ 92  91  88  83  78  74  74  80  92 102 102  93  82  75  72  70  70  70
  71  72  73  74  74  74]"
AN_WILTY_EP22_truth14,truth,71.2,"mean=71.2, std=2.7, max=76, min=65, range=11","[68 69 68 65 66 70 74 76 76 76 75 73 71 69 69 71 71 72 72 72 72 72 72 71
 70 70 72 73]"
AN_WILTY_EP22_truth15,truth,74.4,"mean=74.4, std=3.5, max=82, min=68, range=14",[76 74 72 69 68 71 77 82 81 76 73 72 73 74 74 73 73 75 77 79]
AN_WILTY_EP22_truth19,truth,78.9,"mean=78.9, std=7.3, max=92, min=65, range=27","[87 82 79 80 85 88 90 92 91 86 78 73 71 71 71 72 72 72 73 74 75 75 76 77
 81 87 90 87 81 75 70 65]"
AN_WILTY_EP22_truth2,truth,78.2,"mean=78.2, std=8.1, max=98, min=71, range=27",[73 72 71 72 74 75 74 72 71 76 87 97 98 91 82 77 76 76 76 75]
AN_WILTY_EP22_truth20,truth,77.1,"mean=77.1, std=6.4, max=89, min=60, range=29","[84 87 89 86 81 78 76 74 73 72 72 72 74 77 82 84 82 78 76 76 76 75 73 71
 71 77 84 87 82 73 65 60]"
AN_WILTY_EP23_truth1,truth,77.1,"mean=77.1, std=6.9, max=96, min=70, range=26",[78 78 77 75 74 73 72 71 70 70 72 77 85 89 86 79 73 71 71 72 74 79 89 96]
AN_WILTY_EP23_truth2,truth,79.5,"mean=79.5, std=4.1, max=87, min=72, range=15","[79 81 84 87 86 81 76 77 82 85 82 78 75 77 81 84 81 76 72 72 72 73 75 80
 85 85 82 80 79 79 79 80]"
AN_WILTY_EP23_truth4,truth,75.7,"mean=75.7, std=6.7, max=87, min=65, range=22","[76 76 77 78 78 78 78 81 85 87 85 83 84 85 82 78 74 72 70 68 66 65 66 67
 67 69 71 73]"
AN_WILTY_EP23_truth6,truth,85.6,"mean=85.6, std=7.6, max=100, min=75, range=25","[100  97  95  94  91  89  91  92  88  82  77  75  75  79  83  86  84  80
  78  77]"
AN_WILTY_EP24_lie10,lie,84.7,"mean=84.7, std=5.1, max=96, min=74, range=22",[89 88 87 86 86 85 84 83 84 88 94 96 91 82 76 74 76 81 83 82 81 83 86 88]
AN_WILTY_EP24_lie16,lie,90.6,"mean=90.6, std=8.3, max=108, min=78, range=30","[ 89  87  83  80  82  85  86  84  80  78  79  82  85  90  98 106 108 102
  96  91  90  91  93  96  99 101  99  96]"
AN_WILTY_EP24_lie2,lie,81.4,"mean=81.4, std=4.2, max=87, min=74, range=13",[87 86 84 81 77 76 79 83 86 85 79 74]
AN_WILTY_EP24_lie3,lie,87.0,"mean=87.0, std=5.0, max=92, min=79, range=13",[90 90 91 91 92 92 91 85 79 79 81 83]
AN_WILTY_EP24_lie6,lie,87.9,"mean=87.9, std=8.6, max=110, min=73, range=37","[ 83  84  86  89  91  92  91  89  86  80  75  73  75  78  82  83  85  88
  93  96  93  89  86  85  87  92 101 109 110 103  95  91  88  85  79  74]"
AN_WILTY_EP24_lie9,lie,85.8,"mean=85.8, std=7.0, max=101, min=71, range=30","[ 71  77  83  87  88  87  86  84  81  83  91  99 101  96  90  87  86  86
  87  88  88  87  83  77  72  72  79  86  90  92  92  91]"
AN_WILTY_EP25_lie10,lie,90.6,"mean=90.6, std=7.9, max=103, min=78, range=25","[ 82  80  79  81  85  88  89  90  89  85  81  78  81  88  95  99 101 102
 103 101  99 100 101  98  93  90  89  89]"
AN_WILTY_EP25_lie11,lie,87.1,"mean=87.1, std=5.7, max=101, min=80, range=21","[ 89  89  87  86  85  85  86  87  86  82  81  82  84  85  85  83  80  80
  84  91  98 101  99  95]"
AN_WILTY_EP25_lie2,lie,91.5,"mean=91.5, std=8.1, max=106, min=78, range=28","[ 89  88  85  81  78  78  80  82  85  89  97 105 106 103 103 105 103  98
  92  90  90  90  91  91  91  91  91  91]"
AN_WILTY_EP25_lie7,lie,91.4,"mean=91.4, std=7.4, max=104, min=76, range=28","[101 103 104 101  97  95  93  87  80  76  79  86  91  92  91  90  90  91
  91  91]"
AN_WILTY_EP25_truth4,truth,83.7,"mean=83.7, std=7.8, max=100, min=73, range=27","[ 76  76  76  77  78  80  83  83  81  77  75  73  73  75  81  91 100 100
  95  92  91  88  86  88  91  94  92  88  83  80  78  77]"
AN_WILTY_EP25_truth5,truth,75.2,"mean=75.2, std=3.8, max=87, min=69, range=18","[77 77 76 75 74 73 73 72 71 69 69 73 77 78 73 70 71 76 83 87 84 78 73 72
 73 75 77 78 78 77 75 73 74 75 76 76]"
AN_WILTY_EP26_lie1,lie,88.3,"mean=88.3, std=3.7, max=94, min=81, range=13",[89 90 93 94 90 84 81 83 87 89 90 90]
AN_WILTY_EP26_lie15,lie,84.8,"mean=84.8, std=8.1, max=97, min=59, range=38",[89 88 88 87 87 85 85 85 86 90 94 97 94 88 82 80 81 86 88 88 85 76 66 59]
AN_WILTY_EP26_lie16,lie,88.7,"mean=88.7, std=6.0, max=102, min=79, range=23","[102  93  84  80  79  80  84  90  95  96  95  93  94  97  98  95  89  86
  84  84  84  85  86  86  86  86  86  86]"
AN_WILTY_EP26_lie17,lie,90.5,"mean=90.5, std=6.8, max=99, min=75, range=24",[87 91 96 99 95 88 82 77 75 79 86 94 98 97 95 93 94 97 98 96 92 89 87 87]
AN_WILTY_EP26_truth13,truth,71.3,"mean=71.3, std=3.6, max=75, min=59, range=16",[59 63 70 73 73 72 72 72 70 68 69 71 72 72 72 72 72 73 73 74 74 75 75 75]
AN_WILTY_EP26_truth3,truth,79.0,"mean=79.0, std=8.0, max=95, min=66, range=29","[78 77 77 77 77 76 76 74 72 69 66 66 67 70 73 77 82 84 83 80 81 84 88 91
 94 95 91 87]"
AN_WILTY_EP26_truth6,truth,83.9,"mean=83.9, std=4.4, max=91, min=78, range=13",[78 78 78 80 84 89 91 88 83 84 86 88]
AN_WILTY_EP26_truth7,truth,78.3,"mean=78.3, std=8.1, max=104, min=69, range=35","[104  94  83  77  74  73  73  71  69  69  75  83  89  87  82  78  77  77
  76  75  73  72  74  75]"
AN_WILTY_EP27_lie11,lie,89.3,"mean=89.3, std=7.4, max=108, min=76, range=32","[108 102  96  93  91  91  91  90  91  91  92  92  91  91  90  89  89  89
  90  92  91  90  93  99 100  96  89  84  81  78  76  76  76  77  79  81]"
AN_WILTY_EP27_truth16,truth,71.6,"mean=71.6, std=5.4, max=79, min=63, range=16",[79 79 78 77 74 71 69 67 68 68 66 63]
AN_WILTY_EP27_truth8,truth,82.0,"mean=82.0, std=6.9, max=99, min=71, range=28","[77 77 76 75 75 78 82 84 81 77 76 79 86 94 99 96 87 77 71 71 73 77 84 89
 89 85 83 85 90 93 89 83 79 78 78 78]"
AN_WILTY_EP28_lie2,lie,94.0,"mean=94.0, std=7.2, max=107, min=85, range=22",[107 106 103 100  96  96  98  97  93  88  85  85  86  87  88  89]
AN_WILTY_EP28_lie6,lie,84.4,"mean=84.4, std=6.1, max=99, min=76, range=23","[76 76 77 78 80 83 87 89 90 89 88 88 87 86 85 84 82 79 77 79 84 90 96 99
 94 85 79 77]"
AN_WILTY_EP28_truth14,truth,71.1,"mean=71.1, std=3.1, max=76, min=66, range=10",[72 71 71 71 72 74 76 75 72 67 66 66]
AN_WILTY_EP28_truth16,truth,76.0,"mean=76.0, std=5.3, max=88, min=68, range=20","[68 69 71 73 74 76 80 83 80 76 73 72 72 71 70 70 71 74 76 77 77 77 79 84
 88 87 82 79]"
AN_WILTY_EP28_truth7,truth,75.5,"mean=75.5, std=8.1, max=105, min=67, range=38","[ 72  69  68  68  70  71  70  68  67  67  68  68  71  76  81  81  78  75
  73  72  74  76  77  78  78  78  78  78  80  86  96 105]"
AN_WILTY_EP28_truth8,truth,78.2,"mean=78.2, std=10.0, max=114, min=69, range=45","[ 69  71  74  79  84  84  81  79  78  79  82  83  80  76  73  72  71  70
  69  69  69  70  71  73  74  75  76  75  74  73  74  79  88  98 108 114]"
BRI_WILTY_EP57_lie_16,lie,93.4,"mean=93.4, std=5.1, max=102, min=82, range=20","[ 91  93  97 100  98  94  91  89  89  91  94  97 100 101 101 102 101  97
  91  88  88  91  96  99  96  92  90  93  97  97  90  84  82  86  88  90]"
BRI_WILTY_EP57_lie_19,lie,85.0,"mean=85.0, std=8.6, max=95, min=65, range=30",[94 95 95 92 88 86 86 87 88 88 88 85 80 74 69 65]
BRI_WILTY_EP57_truth_12,truth,76.6,"mean=76.6, std=4.9, max=90, min=67, range=23","[74 74 74 74 74 74 74 74 77 81 83 79 75 73 73 73 72 71 71 75 81 82 79 76
 78 85 90 88 83 79 77 77 76 74 70 67]"
BRI_WILTY_EP57_truth_14,truth,81.8,"mean=81.8, std=8.7, max=99, min=73, range=26",[99 94 89 87 86 82 77 74 73 73 74 74]
BRI_WILTY_EP57_truth_2,truth,80.8,"mean=80.8, std=7.7, max=103, min=72, range=31","[ 76  76  75  75  77  80  79  75  72  72  73  78  86  95 102 103  98  89
  80  77  77  78  79  79  79  80  83  86  87  83  78  76  76  77  77  76]"
BRI_WILTY_EP57_truth_6,truth,77.7,"mean=77.7, std=9.2, max=95, min=67, range=28","[78 82 89 94 95 95 94 88 80 75 72 69 68 68 69 69 68 68 67 67 69 72 72 70
 69 71 75 82 88 91 88 83 79 78 77 77]"
BRI_WILTY_EP58_lie_1,lie,85.4,"mean=85.4, std=5.5, max=91, min=75, range=16",[87 84 80 76 75 77 81 87 89 89 89 89 90 91 91 91]
BRI_WILTY_EP58_lie_15,lie,92.3,"mean=92.3, std=7.5, max=103, min=78, range=25","[102 102 102  99  95  90  87  86  86  85  85  86  86  85  83  80  78  81
  88  96 101 103 103 102  99  95  92  92  93  96  98  98]"
BRI_WILTY_EP58_lie_16,lie,90.8,"mean=90.8, std=6.4, max=106, min=79, range=27",[106  98  88  81  79  84  92  97  96  93  91  90  90  89  89  89]
BRI_WILTY_EP58_lie_19,lie,89.0,"mean=89.0, std=5.3, max=97, min=77, range=20","[90 91 91 92 94 96 97 95 91 88 87 87 89 93 95 92 85 80 77 80 86 93 95 92
 85 81 83 86]"
BRI_WILTY_EP58_lie_21,lie,96.4,"mean=96.4, std=5.0, max=105, min=88, range=17","[ 94  97  99  99 100  99  97  95  97 102 105 105 101  96  93  91  91  90
  88  88]"
BRI_WILTY_EP58_lie_24,lie,86.3,"mean=86.3, std=6.2, max=98, min=78, range=20","[98 97 94 88 82 79 80 82 83 82 79 78 80 86 93 96 95 93 91 90 89 88 85 81
 79 80 83 85]"
BRI_WILTY_EP58_lie_25,lie,89.5,"mean=89.5, std=8.2, max=106, min=74, range=32","[ 90  90  91  92  92  91  91  90  90  90  92  97 102 105 106 103  96  90
  85  82  79  77  79  83  85  84  79  74]"
BRI_WILTY_EP58_lie_27,lie,91.2,"mean=91.2, std=6.2, max=104, min=82, range=22",[ 89  89  89  88  85  82  83  89  98 104 103  98  93  90  90  90]
BRI_WILTY_EP58_lie_28,lie,87.0,"mean=87.0, std=5.5, max=98, min=80, range=18",[90 89 89 87 86 86 90 95 98 94 86 81 80 80 80 81]
BRI_WILTY_EP58_lie_4,lie,87.7,"mean=87.7, std=6.4, max=102, min=71, range=31","[ 71  76  82  85  85  85  85  86  89  92  91  86  81  80  81  83  86  90
  91  91  90  89  89  89  89  88  89  91  94  99 102 102]"
BRI_WILTY_EP58_truth_11,truth,79.8,"mean=79.8, std=3.9, max=87, min=74, range=13",[81 84 86 83 77 74 75 79 83 83 82 84 87 85 82 79 77 75 74 75 77 78 78 78]
BRI_WILTY_EP58_truth_12,truth,79.7,"mean=79.7, std=6.7, max=90, min=70, range=20",[70 73 77 80 83 86 87 84 79 74 72 72 72 72 72 73 77 83 87 89 90 90 87 84]
BRI_WILTY_EP58_truth_14,truth,79.7,"mean=79.7, std=7.4, max=94, min=71, range=23","[74 75 79 87 94 92 83 75 72 72 72 72 71 72 72 73 75 80 86 88 85 78 73 73
 76 80 85 92 94 90 83 78]"
BRI_WILTY_EP58_truth_29,truth,77.2,"mean=77.2, std=4.1, max=88, min=71, range=17","[76 75 74 73 72 72 72 72 73 76 79 77 73 71 72 76 81 83 81 78 76 77 78 78
 79 79 80 80 78 76 75 79 84 88 86 82]"
BRI_WILTY_EP58_truth_7,truth,73.3,"mean=73.3, std=4.4, max=85, min=67, range=18","[75 73 71 72 72 71 69 67 68 70 71 71 69 68 70 75 81 85 82 77 74 71 71 73
 76 77 77 77]"
BRI_WILTY_EP58_truth_9,truth,82.9,"mean=82.9, std=7.5, max=107, min=73, range=34","[107 100  94  91  89  87  85  81  77  74  73  73  73  74  77  82  85  84
  81  80  82  85  85  82  79  79  79  80  80  80  80  79  79  83  90  97]"
BRI_WILTY_EP59_deception_20,lie,91.0,"mean=91.0, std=6.2, max=105, min=84, range=21","[ 90  90  90  90  89  89  88  87  86  85  84  84  86  90  97 103 105 101
  94  87  84  87  96 102]"
BRI_WILTY_EP59_lie_10,lie,85.4,"mean=85.4, std=5.0, max=96, min=79, range=17",[85 83 80 80 79 79 81 85 91 96 96 90 83 81 82 85 86 88 88 89]
BRI_WILTY_EP59_lie_16,lie,88.6,"mean=88.6, std=5.0, max=97, min=77, range=20","[90 88 90 94 97 93 87 84 85 89 91 92 91 90 89 88 86 82 78 77 79 85 92 96
 93 88 85 84 84 86 89 94 96 95 93 91]"
BRI_WILTY_EP59_truth_1,truth,80.0,"mean=80.0, std=4.5, max=87, min=72, range=15",[80 83 86 87 84 79 76 76 80 83 83 82 84 85 82 76 72 72 74 76]
